course_id,question_id,topic,difficulty,question_type,question_text,answers,points,source
1,1,Heart of Algebra,easy,multiple_choice_question,"If 3x + 7 = 22, what is the value of x?","[{""text"": ""3"", ""correct"": false}, {""text"": ""5"", ""correct"": true}, {""text"": ""7"", ""correct"": false}, {""text"": ""15"", ""correct"": false}]",1,qbank-stand-in
1,2,Heart of Algebra,medium,multiple_choice_question,What is the slope of the line 2y = 6x - 4?,"[{""text"": ""2"", ""correct"": false}, {""text"": ""3"", ""correct"": true}, {""text"": ""6"", ""correct"": false}, {""text"": ""-4"", ""correct"": false}]",1,qbank-stand-in
1,3,Heart of Algebra,easy,multiple_choice_question,Solve for y: 4y - 9 = 3y + 2.,"[{""text"": ""-11"", ""correct"": false}, {""text"": ""11"", ""correct"": true}, {""text"": ""7"", ""correct"": false}, {""text"": ""2"", ""correct"": false}]",1,qbank-stand-in
1,4,Heart of Algebra,medium,multiple_choice_question,"A line passes through (0, 3) and (2, 7). Which equation describes it?","[{""text"": ""y = 3x + 2"", ""correct"": false}, {""text"": ""y = 2x + 3"", ""correct"": true}, {""text"": ""y = x + 3"", ""correct"": false}, {""text"": ""y = 4x + 3"", ""correct"": false}]",1,qbank-stand-in
1,5,Heart of Algebra,hard,multiple_choice_question,For which value of k does the system x + y = 4 and 2x + 2y = k have infinitely many solutions?,"[{""text"": ""2"", ""correct"": false}, {""text"": ""4"", ""correct"": false}, {""text"": ""8"", ""correct"": true}, {""text"": ""16"", ""correct"": false}]",2,qbank-stand-in
1,6,Problem Solving and Data Analysis,easy,multiple_choice_question,A shirt costs $40 after a 20 percent discount. What was the original price?,"[{""text"": ""$48"", ""correct"": false}, {""text"": ""$50"", ""correct"": true}, {""text"": ""$32"", ""correct"": false}, {""text"": ""$60"", ""correct"": false}]",1,qbank-stand-in
1,7,Problem Solving and Data Analysis,medium,multiple_choice_question,"What is the mean of 4, 8, 15, 16, 23 and 42?","[{""text"": ""15"", ""correct"": false}, {""text"": ""16"", ""correct"": false}, {""text"": ""18"", ""correct"": true}, {""text"": ""20"", ""correct"": false}]",1,qbank-stand-in
1,8,Problem Solving and Data Analysis,easy,multiple_choice_question,Two parts are in the ratio 3:5 and total 24. What is the larger part?,"[{""text"": ""9"", ""correct"": false}, {""text"": ""12"", ""correct"": false}, {""text"": ""15"", ""correct"": true}, {""text"": ""16"", ""correct"": false}]",1,qbank-stand-in
1,9,Problem Solving and Data Analysis,medium,multiple_choice_question,A survey of 200 students found 35 percent ride the bus. How many ride the bus?,"[{""text"": ""35"", ""correct"": false}, {""text"": ""60"", ""correct"": false}, {""text"": ""70"", ""correct"": true}, {""text"": ""80"", ""correct"": false}]",1,qbank-stand-in
1,10,Reading,easy,multiple_choice_question,"""The committee's decision was met with palpable relief."" In this sentence, palpable most nearly means","[{""text"": ""hidden"", ""correct"": false}, {""text"": ""obvious"", ""correct"": true}, {""text"": ""unwelcome"", ""correct"": false}, {""text"": ""temporary"", ""correct"": false}]",1,qbank-stand-in
1,11,Reading,medium,multiple_choice_question,A passage opens with a question and answers it with survey data. Its main purpose is most likely to,"[{""text"": ""entertain the reader"", ""correct"": false}, {""text"": ""inform the reader"", ""correct"": true}, {""text"": ""apologize to the reader"", ""correct"": false}, {""text"": ""sell a product"", ""correct"": false}]",1,qbank-stand-in
1,12,Reading,easy,multiple_choice_question,"""Although the experiment failed, the team learned a great deal."" The word Although signals","[{""text"": ""a cause"", ""correct"": false}, {""text"": ""a contrast"", ""correct"": true}, {""text"": ""a sequence"", ""correct"": false}, {""text"": ""an example"", ""correct"": false}]",1,qbank-stand-in
1,13,Reading,hard,multiple_choice_question,Which choice provides the best evidence for a claim made in a passage?,"[{""text"": ""a quotation that states the claim directly"", ""correct"": true}, {""text"": ""the passage title"", ""correct"": false}, {""text"": ""a rhetorical question"", ""correct"": false}, {""text"": ""an unrelated statistic"", ""correct"": false}]",2,qbank-stand-in
1,14,Writing and Language,easy,multiple_choice_question,"Choose the correct verb: ""Each of the students ___ responsible for the lab report.""","[{""text"": ""are"", ""correct"": false}, {""text"": ""is"", ""correct"": true}, {""text"": ""were"", ""correct"": false}, {""text"": ""be"", ""correct"": false}]",1,qbank-stand-in
1,15,Writing and Language,medium,multiple_choice_question,Which punctuation correctly joins two independent clauses without a conjunction?,"[{""text"": ""a comma"", ""correct"": false}, {""text"": ""a semicolon"", ""correct"": true}, {""text"": ""no punctuation"", ""correct"": false}, {""text"": ""a hyphen"", ""correct"": false}]",1,qbank-stand-in
1,16,Writing and Language,medium,multiple_choice_question,"Which revision fixes the misplaced modifier in ""Running late, the bus was missed by Sam""?","[{""text"": ""Running late, the bus missed Sam."", ""correct"": false}, {""text"": ""Running late, Sam missed the bus."", ""correct"": true}, {""text"": ""The bus, running late, was missed."", ""correct"": false}, {""text"": ""Sam, the bus was missed running late."", ""correct"": false}]",1,qbank-stand-in
